epoch,train_acc,train_cost,test_acc
291,0.5377,1.3102291,0.4925
292,0.4666,1.4858525,0.4395
293,0.5004,1.3949965,0.4745
294,0.5376,1.3164,0.4975
295,0.522,1.3632313,0.4775
296,0.538,1.2977833,0.5015
297,0.5401,1.3047802,0.508
298,0.5198,1.3429607,0.4935
299,0.5085,1.3613335,0.476
300,0.5129,1.3418976,0.481
301,0.5101,1.3767686,0.464
302,0.4679,1.507657,0.4485
303,0.5312,1.3109453,0.5
304,0.5348,1.3442317,0.496
305,0.528,1.3271445,0.49
306,0.5152,1.3458822,0.484
307,0.5223,1.3377321,0.497
308,0.5086,1.373959,0.4605
309,0.4785,1.498771,0.43
310,0.5237,1.3409989,0.5085
311,0.477,1.5131031,0.457
312,0.4457,1.5733227,0.4065
313,0.5078,1.367905,0.463
314,0.5276,1.3110486,0.498
315,0.5187,1.3500367,0.4905
316,0.512,1.3827435,0.4695
317,0.5483,1.2748027,0.5145
318,0.5237,1.3100703,0.488
319,0.5291,1.3092321,0.484
320,0.5465,1.2717963,0.5125
321,0.5101,1.3782455,0.494
322,0.5402,1.2848843,0.505
323,0.5445,1.2859474,0.5035
324,0.5074,1.3477587,0.489
325,0.5406,1.3010526,0.492
326,0.5023,1.3803598,0.477
327,0.5079,1.4183162,0.4825
328,0.5352,1.317546,0.505
329,0.5378,1.3225933,0.5045
330,0.5298,1.303527,0.502
331,0.5421,1.3192457,0.503
332,0.4884,1.4345212,0.442
333,0.5269,1.3262665,0.4795
334,0.5476,1.2708216,0.5185
335,0.5357,1.3043119,0.5025
336,0.5521,1.2635266,0.5105
337,0.5455,1.2786434,0.5175
338,0.5059,1.3809457,0.471
339,0.5367,1.3347759,0.492
340,0.5567,1.256254,0.5115
341,0.5477,1.2875534,0.503
342,0.5329,1.3136451,0.4835
343,0.5383,1.3023453,0.494
344,0.4873,1.4273363,0.4645
345,0.5386,1.3125943,0.502
346,0.5257,1.330658,0.5
347,0.4807,1.5342122,0.4385
348,0.5527,1.2654114,0.5155
349,0.5506,1.277891,0.516
350,0.5408,1.2994828,0.5005
351,0.5642,1.2382814,0.5145
352,0.5517,1.2784405,0.517
353,0.5514,1.2635864,0.5285
354,0.5354,1.2971735,0.5045
355,0.5244,1.3478698,0.4745
356,0.5171,1.4097229,0.477
357,0.4893,1.3786156,0.467
358,0.5037,1.4687254,0.4715
359,0.5399,1.2787285,0.5045
360,0.5734,1.2193838,0.5265
361,0.4324,1.6811535,0.4245
362,0.5381,1.2977335,0.5025
363,0.5488,1.2615653,0.5025
364,0.5556,1.2454467,0.5155
365,0.5536,1.2425619,0.502
366,0.5313,1.3134302,0.488
367,0.5514,1.2790607,0.5155
368,0.5486,1.2693602,0.4945
369,0.4836,1.5118928,0.434
370,0.5544,1.2654268,0.5085
371,0.5667,1.2163922,0.537
372,0.5268,1.3400506,0.494
373,0.5209,1.3853725,0.485
374,0.5384,1.2768701,0.493
375,0.5721,1.2088301,0.5235
376,0.5489,1.2587311,0.511
377,0.5525,1.2697982,0.513
378,0.5305,1.2871649,0.4735
379,0.5726,1.2104363,0.5345
380,0.4754,1.4750088,0.451
381,0.5435,1.2948331,0.49
382,0.5448,1.2888211,0.5045
383,0.5798,1.1903921,0.539
384,0.5203,1.3646708,0.468
385,0.5765,1.2062268,0.5235
386,0.5038,1.4478277,0.4625
387,0.5205,1.3231666,0.493
388,0.5672,1.2125039,0.532
389,0.5805,1.2006315,0.5325
390,0.5752,1.2117269,0.526
391,0.525,1.3398303,0.4625
392,0.5707,1.2087197,0.515
393,0.4857,1.4945252,0.4435
394,0.5633,1.231877,0.5125
395,0.5696,1.2422918,0.5125
396,0.5489,1.2699482,0.5125
397,0.5553,1.280583,0.5105
398,0.4967,1.394367,0.46
399,0.5447,1.2661756,0.4945
400,0.5563,1.2510977,0.518
401,0.5502,1.2770696,0.521
402,0.5609,1.2837667,0.509
403,0.5706,1.2070026,0.5145
404,0.5466,1.2773502,0.5125
405,0.5129,1.3363465,0.4835
406,0.5436,1.2891103,0.495
407,0.5732,1.1966923,0.5285
408,0.544,1.2851748,0.489
409,0.5802,1.1982149,0.5325
410,0.5704,1.2200674,0.526
411,0.52,1.3656069,0.473
412,0.5715,1.1984347,0.52
413,0.5693,1.198089,0.5045
414,0.5866,1.1911013,0.5275
415,0.573,1.216869,0.5195
416,0.5294,1.2773632,0.486
417,0.5784,1.1868533,0.542
418,0.5683,1.2202157,0.5115
419,0.5956,1.1591661,0.5415
420,0.5586,1.2462456,0.5215
421,0.5865,1.1748557,0.5405
422,0.5822,1.1743162,0.5265
423,0.5143,1.3629466,0.4685
424,0.5421,1.2804377,0.506
425,0.5551,1.241985,0.519
426,0.5363,1.3040785,0.4985
427,0.5686,1.2358356,0.512
428,0.5603,1.2396635,0.502
429,0.5236,1.3574133,0.4895
430,0.5575,1.2330031,0.506
431,0.59,1.1701514,0.5375
432,0.5559,1.2436261,0.525
433,0.5681,1.2231559,0.5175
434,0.5635,1.2247334,0.515
435,0.5697,1.2001842,0.5255
436,0.602,1.1435369,0.547
437,0.5243,1.3155661,0.491
438,0.5976,1.1401002,0.544
439,0.592,1.1683407,0.5295
440,0.5919,1.1645478,0.5295
441,0.5992,1.1526393,0.539
442,0.442,1.5448033,0.425
443,0.5242,1.3149725,0.4825
444,0.5887,1.1785436,0.5245
445,0.5552,1.2396611,0.4845
446,0.5954,1.1640732,0.539
447,0.5373,1.3295885,0.49
448,0.6001,1.1422457,0.5485
449,0.5261,1.3948507,0.485
450,0.5619,1.201275,0.5245
451,0.5459,1.2776053,0.472
452,0.5737,1.2027547,0.5315
453,0.5906,1.15088,0.526
454,0.5739,1.1991432,0.515
455,0.5846,1.1697644,0.529
456,0.5946,1.1482213,0.551
457,0.5577,1.2436115,0.5005
458,0.5871,1.1688443,0.53
459,0.5714,1.2180121,0.503
460,0.5628,1.2155727,0.5235
461,0.592,1.1503563,0.5275
462,0.5466,1.3192612,0.4885
463,0.523,1.3437023,0.4545
464,0.595,1.1532503,0.5215
465,0.5481,1.308039,0.496
466,0.532,1.348716,0.4705
467,0.5738,1.206846,0.519
468,0.5969,1.1399654,0.5335
469,0.598,1.1589805,0.5375
470,0.5981,1.1536801,0.532
471,0.5874,1.1602964,0.52
472,0.5242,1.3338124,0.4515
473,0.6026,1.1316813,0.5385
474,0.5666,1.2300208,0.509
475,0.5953,1.1450908,0.521
476,0.5785,1.1796781,0.531
477,0.5606,1.1941569,0.5055
478,0.5665,1.2032624,0.523
479,0.5823,1.1749218,0.525
480,0.5359,1.2786722,0.4935
481,0.6081,1.13437,0.537
482,0.5038,1.4053113,0.445
483,0.5738,1.2453918,0.5205
484,0.4846,1.466491,0.449
485,0.574,1.1899332,0.5075
486,0.5957,1.1455051,0.543
487,0.5861,1.1590598,0.5325
488,0.6016,1.1319879,0.541
489,0.5631,1.2014263,0.496
490,0.549,1.2366006,0.4915
491,0.6113,1.1210248,0.5375
492,0.6121,1.1097354,0.534
493,0.6196,1.1030928,0.5535
494,0.6136,1.0952973,0.5495
495,0.6156,1.1021281,0.552
496,0.6093,1.1094018,0.545
497,0.5193,1.3100044,0.4675
498,0.5537,1.2700346,0.496
499,0.6159,1.1024622,0.5415
500,0.6073,1.1107839,0.535
501,0.6035,1.1201543,0.538
502,0.5655,1.2206756,0.4835
503,0.5978,1.1229761,0.543
504,0.5524,1.277035,0.495
505,0.6064,1.1327678,0.5325
506,0.5813,1.1667902,0.5325
