epoch,train accuracy,test accuracy,time per epoch
160,0.90994626,0.9106583,0.038895606994628906
161,0.9119624,0.90909094,0.03989362716674805
162,0.9086022,0.9122257,0.0388948917388916
163,0.90793014,0.9043887,0.03889608383178711
164,0.90994626,0.9075235,0.038896799087524414
165,0.8944892,0.90909094,0.039893150329589844
166,0.90994626,0.9075235,0.038895606994628906
167,0.90994626,0.90909094,0.03889608383178711
168,0.90793014,0.9059561,0.03889656066894531
169,0.9086022,0.9106583,0.038895606994628906
170,0.90658605,0.90909094,0.040891408920288086
171,0.90456986,0.9106583,0.03989291191101074
172,0.9086022,0.9106583,0.03742671012878418
173,0.90994626,0.9106583,0.03989362716674805
174,0.9092742,0.90909094,0.03945040702819824
175,0.91129035,0.90909094,0.03889584541320801
176,0.9133065,0.9106583,0.03889632225036621
177,0.9139785,0.9106583,0.03889608383178711
178,0.9072581,0.90909094,0.041887760162353516
179,0.90793014,0.90909094,0.03889608383178711
180,0.9106183,0.9075235,0.03789877891540527
181,0.9086022,0.9106583,0.038895606994628906
182,0.9086022,0.9043887,0.04089093208312988
183,0.9119624,0.9106583,0.03789854049682617
184,0.9119624,0.9075235,0.04089045524597168
185,0.9153226,0.9106583,0.04188823699951172
186,0.90994626,0.9075235,0.03789877891540527
187,0.9106183,0.9075235,0.03989386558532715
188,0.9106183,0.90909094,0.03989219665527344
189,0.9139785,0.9075235,0.03792929649353027
190,0.9092742,0.9043887,0.03789877891540527
191,0.91129035,0.9059561,0.03889060020446777
192,0.9119624,0.90909094,0.03787374496459961
193,0.91263443,0.9106583,0.03989267349243164
194,0.9119624,0.9075235,0.03889632225036621
195,0.9106183,0.9106583,0.037899017333984375
196,0.9106183,0.9075235,0.03789830207824707
197,0.91263443,0.9106583,0.03989291191101074
198,0.9133065,0.9075235,0.040891170501708984
199,0.9139785,0.90909094,0.03889584541320801
200,0.91599464,0.9075235,0.03889608383178711
201,0.9139785,0.9075235,0.038921356201171875
202,0.9086022,0.90909094,0.03687548637390137
203,0.90793014,0.9137931,0.03989362716674805
204,0.9133065,0.90909094,0.043910980224609375
205,0.91465056,0.9075235,0.03889966011047363
206,0.91465056,0.9106583,0.0388636589050293
207,0.91465056,0.90909094,0.037899017333984375
208,0.91465056,0.9075235,0.037899017333984375
209,0.91263443,0.9106583,0.03989291191101074
210,0.90994626,0.9106583,0.037438154220581055
211,0.91263443,0.90125394,0.03789854049682617
212,0.91129035,0.90909094,0.03789854049682617
213,0.9092742,0.9122257,0.03842496871948242
214,0.9119624,0.90909094,0.039893150329589844
215,0.91465056,0.9059561,0.038895606994628906
216,0.91263443,0.9153605,0.03690171241760254
217,0.9119624,0.9153605,0.03789830207824707
218,0.9139785,0.9075235,0.037899017333984375
219,0.9173387,0.90909094,0.03889608383178711
220,0.9119624,0.9122257,0.039893388748168945
221,0.91465056,0.9075235,0.04089045524597168
222,0.91263443,0.9075235,0.037899017333984375
223,0.9139785,0.9059561,0.03889584541320801
224,0.91599464,0.9059561,0.04089069366455078
225,0.9153226,0.90909094,0.04188728332519531
226,0.9153226,0.9075235,0.037926673889160156
227,0.91263443,0.9075235,0.037899017333984375
228,0.90994626,0.9137931,0.03789925575256348
229,0.9139785,0.9106583,0.03986501693725586
230,0.9139785,0.9137931,0.036901235580444336
231,0.91263443,0.9075235,0.036931514739990234
232,0.9119624,0.9169279,0.03689885139465332
233,0.9133065,0.9059561,0.03690147399902344
234,0.9153226,0.9106583,0.03690171241760254
235,0.9139785,0.9075235,0.036900997161865234
236,0.9153226,0.9075235,0.03687334060668945
237,0.9119624,0.9153605,0.03789854049682617
238,0.9166667,0.9059561,0.036901235580444336
239,0.9119624,0.9122257,0.0369265079498291
240,0.9173387,0.9137931,0.03787350654602051
241,0.91599464,0.9075235,0.036900997161865234
242,0.91465056,0.9153605,0.037899017333984375
243,0.9139785,0.9184953,0.03789854049682617
244,0.9133065,0.9137931,0.03789877891540527
245,0.9153226,0.9075235,0.03789854049682617
246,0.9139785,0.9106583,0.03789854049682617
247,0.90255374,0.9122257,0.03789830207824707
248,0.9180108,0.9075235,0.03789925575256348
249,0.9166667,0.9075235,0.036901235580444336
250,0.91465056,0.9169279,0.03830099105834961
251,0.91465056,0.90909094,0.03792381286621094
252,0.91465056,0.90125394,0.036900997161865234
253,0.9173387,0.9106583,0.03687596321105957
254,0.9166667,0.9169279,0.036901235580444336
255,0.9153226,0.90909094,0.03789925575256348
256,0.9186828,0.9122257,0.039893388748168945
257,0.91599464,0.9075235,0.03789854049682617
258,0.9173387,0.9059561,0.03889727592468262
259,0.9166667,0.90909094,0.04188656806945801
260,0.9153226,0.9169279,0.03889584541320801
261,0.9166667,0.9169279,0.037899017333984375
262,0.9173387,0.90909094,0.03889608383178711
263,0.9173387,0.9122257,0.036900997161865234
264,0.92069894,0.9075235,0.03889608383178711
265,0.9180108,0.9059561,0.03789854049682617
266,0.9166667,0.9169279,0.037899017333984375
267,0.9166667,0.9169279,0.038895368576049805
268,0.9173387,0.90909094,0.037899017333984375
269,0.9153226,0.9106583,0.03789877891540527
270,0.9180108,0.9075235,0.03789782524108887
271,0.9180108,0.9075235,0.03889608383178711
272,0.9119624,0.9122257,0.03889656066894531
273,0.92069894,0.90909094,0.03889608383178711
274,0.9173387,0.90909094,0.03789854049682617
275,0.921371,0.90909094,0.03892183303833008
276,0.91935486,0.90909094,0.03787350654602051
277,0.9186828,0.9184953,0.03792572021484375
278,0.9180108,0.9184953,0.03787064552307129
279,0.9173387,0.9122257,0.03748202323913574
280,0.9173387,0.9184953,0.03789854049682617
281,0.91599464,0.9075235,0.03789877891540527
282,0.9200269,0.9122257,0.03789806365966797
283,0.9186828,0.9106583,0.036901235580444336
284,0.9200269,0.9122257,0.038897037506103516
285,0.91935486,0.90909094,0.03789782524108887
286,0.9173387,0.9122257,0.037899017333984375
287,0.91599464,0.9106583,0.03747129440307617
288,0.92069894,0.9122257,0.03690147399902344
289,0.9180108,0.9216301,0.03789854049682617
290,0.9173387,0.9075235,0.03889656066894531
291,0.91465056,0.9169279,0.038895368576049805
292,0.9186828,0.9153605,0.03889632225036621
293,0.9173387,0.9137931,0.038895606994628906
294,0.922043,0.9106583,0.03690147399902344
295,0.91935486,0.90909094,0.03693032264709473
296,0.9186828,0.90909094,0.037869930267333984
297,0.92271507,0.9106583,0.03889656066894531
298,0.9186828,0.9075235,0.03989243507385254
299,0.9186828,0.9106583,0.0389249324798584
300,0.9233871,0.9106583,0.03786969184875488
301,0.9166667,0.9216301,0.03789830207824707
302,0.9180108,0.9200627,0.036901235580444336
303,0.9186828,0.9153605,0.03889608383178711
304,0.9200269,0.9216301,0.03889608383178711
305,0.9166667,0.9184953,0.038895606994628906
306,0.91935486,0.9122257,0.0359044075012207
307,0.92069894,0.90909094,0.036901235580444336
308,0.91599464,0.9184953,0.03789854049682617
309,0.92069894,0.9153605,0.03989386558532715
310,0.9200269,0.9231975,0.040889739990234375
311,0.9247312,0.9122257,0.03789925575256348
312,0.9173387,0.9200627,0.03693127632141113
313,0.9200269,0.9216301,0.03789472579956055
314,0.9200269,0.9075235,0.03790020942687988
315,0.9186828,0.9169279,0.03886842727661133
316,0.9260753,0.9153605,0.03955245018005371
317,0.9200269,0.9169279,0.03991866111755371
318,0.921371,0.9106583,0.03846859931945801
319,0.91935486,0.9231975,0.03887152671813965
320,0.91935486,0.9059561,0.039919376373291016
321,0.9200269,0.9122257,0.0378718376159668
322,0.92405915,0.90909094,0.04089045524597168
323,0.9186828,0.9184953,0.038896799087524414
324,0.9180108,0.90909094,0.038895368576049805
325,0.922043,0.9137931,0.03889608383178711
326,0.92069894,0.9216301,0.03748774528503418
327,0.9200269,0.9247649,0.03690171241760254
328,0.9200269,0.9106583,0.04092097282409668
329,0.9200269,0.9106583,0.04144096374511719
330,0.91935486,0.9153605,0.036900997161865234
331,0.92069894,0.9122257,0.03789830207824707
332,0.9186828,0.9075235,0.03693437576293945
333,0.9180108,0.9153605,0.03786611557006836
334,0.92069894,0.9247649,0.041396379470825195
335,0.9180108,0.9122257,0.04188799858093262
336,0.9200269,0.9247649,0.038895368576049805
337,0.92405915,0.9137931,0.0359039306640625
338,0.91935486,0.9200627,0.03989386558532715
339,0.9200269,0.9200627,0.03889584541320801
340,0.9200269,0.9200627,0.039893150329589844
341,0.921371,0.9169279,0.03789877891540527
342,0.92405915,0.9153605,0.03889608383178711
343,0.91935486,0.9122257,0.03789854049682617
344,0.92069894,0.9169279,0.03789854049682617
345,0.9200269,0.9200627,0.03989410400390625
346,0.9186828,0.9200627,0.03992152214050293
347,0.92405915,0.9106583,0.03886675834655762
348,0.92069894,0.9200627,0.037899017333984375
349,0.9186828,0.9200627,0.03690147399902344
350,0.9233871,0.9137931,0.036901235580444336
351,0.9200269,0.9184953,0.036901235580444336
352,0.921371,0.9122257,0.03789877891540527
353,0.921371,0.9216301,0.03989267349243164
354,0.9186828,0.9247649,0.036901235580444336
355,0.92405915,0.9137931,0.03789925575256348
356,0.9200269,0.9216301,0.036901235580444336
357,0.92271507,0.9247649,0.03690147399902344
358,0.921371,0.9216301,0.03789830207824707
359,0.922043,0.9153605,0.03989362716674805
360,0.92069894,0.9231975,0.03954911231994629
361,0.921371,0.9247649,0.03889608383178711
362,0.921371,0.9294671,0.03789854049682617
363,0.922043,0.9137931,0.039893388748168945
364,0.91935486,0.9169279,0.03889632225036621
365,0.9280914,0.90909094,0.039893388748168945
366,0.9186828,0.9216301,0.04089045524597168
367,0.9180108,0.9200627,0.038924455642700195
368,0.922043,0.9137931,0.0379030704498291
369,0.9200269,0.92789966,0.03986001014709473
370,0.9200269,0.9169279,0.039893388748168945
371,0.92741936,0.9122257,0.04089069366455078
372,0.9267473,0.9122257,0.040891170501708984
373,0.92271507,0.9184953,0.03889584541320801
374,0.921371,0.9184953,0.03690075874328613
375,0.9233871,0.9216301,0.03789925575256348
376,0.92741936,0.9153605,0.038895606994628906
377,0.9280914,0.9184953,0.037899017333984375
378,0.92069894,0.9200627,0.038895368576049805
379,0.92271507,0.9231975,0.040891408920288086
380,0.9200269,0.9231975,0.036900997161865234
381,0.921371,0.9247649,0.03690147399902344
382,0.9200269,0.9231975,0.03692913055419922
383,0.92540324,0.9184953,0.0369112491607666
384,0.922043,0.92789966,0.038857460021972656
385,0.921371,0.9153605,0.03889632225036621
386,0.9280914,0.9137931,0.03789925575256348
387,0.92876345,0.9169279,0.03792715072631836
388,0.92069894,0.9247649,0.038872718811035156
389,0.92271507,0.9231975,0.03789329528808594
390,0.92405915,0.9200627,0.039893388748168945
391,0.92405915,0.9200627,0.04089021682739258
392,0.92540324,0.9169279,0.039893388748168945
393,0.92271507,0.9169279,0.03889584541320801
394,0.92741936,0.9137931,0.03889632225036621
395,0.92405915,0.9153605,0.04089045524597168
396,0.922043,0.9247649,0.03742408752441406
397,0.92741936,0.9200627,0.03889608383178711
398,0.9260753,0.9153605,0.037926673889160156
399,0.922043,0.92789966,0.038494110107421875
400,0.9247312,0.9200627,0.03789854049682617
401,0.92069894,0.9247649,0.038895606994628906
402,0.92271507,0.9216301,0.037899017333984375
403,0.9260753,0.9184953,0.03792691230773926
404,0.92405915,0.9200627,0.03787040710449219
405,0.92876345,0.9137931,0.03789806365966797
406,0.92741936,0.9137931,0.036901235580444336
407,0.922043,0.9216301,0.03647112846374512
408,0.9280914,0.9153605,0.03789877891540527
409,0.9247312,0.9216301,0.03789877891540527
410,0.92271507,0.9231975,0.039893388748168945
411,0.9247312,0.9184953,0.039893388748168945
412,0.92271507,0.9231975,0.04089021682739258
413,0.92405915,0.9216301,0.037899017333984375
414,0.9233871,0.9216301,0.03789877891540527
415,0.92741936,0.9184953,0.03693199157714844
416,0.9233871,0.9231975,0.054822683334350586
417,0.92405915,0.9216301,0.04089021682739258
418,0.92405915,0.9200627,0.036901235580444336
419,0.921371,0.9231975,0.039893388748168945
420,0.922043,0.9247649,0.03789854049682617
421,0.92741936,0.9153605,0.0389256477355957
422,0.9280914,0.9184953,0.03786945343017578
423,0.92540324,0.9263323,0.0388951301574707
424,0.9247312,0.9216301,0.038896799087524414
425,0.9280914,0.9137931,0.035903215408325195
426,0.92540324,0.9247649,0.03690195083618164
427,0.9233871,0.9247649,0.036901235580444336
428,0.93010753,0.9153605,0.03690147399902344
429,0.9247312,0.9247649,0.03789830207824707
430,0.92271507,0.9216301,0.03789877891540527
431,0.9233871,0.9231975,0.03989362716674805
432,0.921371,0.9231975,0.03789806365966797
433,0.92271507,0.9216301,0.039893388748168945
434,0.9260753,0.9184953,0.03889608383178711
435,0.9233871,0.9231975,0.03889656066894531
436,0.9247312,0.9247649,0.038895606994628906
437,0.9267473,0.9169279,0.03789854049682617
438,0.9294355,0.9184953,0.04089021682739258
439,0.92876345,0.9137931,0.03889608383178711
440,0.92540324,0.9216301,0.03889584541320801
441,0.92405915,0.9216301,0.03690147399902344
442,0.9260753,0.9216301,0.03889656066894531
443,0.92741936,0.9200627,0.03757500648498535
444,0.9260753,0.9153605,0.03789877891540527
445,0.9247312,0.9231975,0.03789877891540527
446,0.9267473,0.9122257,0.038454294204711914
447,0.922043,0.9137931,0.03789782524108887
448,0.9294355,0.9137931,0.037899017333984375
449,0.9280914,0.9200627,0.038896799087524414
450,0.92405915,0.9263323,0.03789782524108887
451,0.92271507,0.9231975,0.037923574447631836
452,0.9247312,0.9200627,0.03587937355041504
453,0.9267473,0.9216301,0.03789877891540527
454,0.92540324,0.9216301,0.03889608383178711
455,0.92540324,0.9200627,0.036901235580444336
456,0.9247312,0.9200627,0.0388951301574707
457,0.9233871,0.9231975,0.03989362716674805
458,0.9247312,0.9231975,0.03789877891540527
459,0.92405915,0.9231975,0.039893388748168945
460,0.92741936,0.9231975,0.036900997161865234
461,0.9267473,0.9216301,0.038896799087524414
462,0.9247312,0.9231975,0.03889584541320801
463,0.93010753,0.9122257,0.03889584541320801
464,0.92540324,0.9216301,0.03889608383178711
465,0.9260753,0.9184953,0.038895606994628906
466,0.9260753,0.9184953,0.03892111778259277
467,0.92741936,0.9184953,0.037899017333984375
468,0.92405915,0.9216301,0.03986763954162598
469,0.9280914,0.9184953,0.039893388748168945
470,0.9280914,0.9169279,0.03789854049682617
471,0.92741936,0.9231975,0.03789925575256348
472,0.92741936,0.9216301,0.03840374946594238
473,0.9260753,0.9137931,0.037899017333984375
