type,epoch,test accuracy,entropy_cost
Char RNN 2 Layer Vanilla,47,0.14285715,2.2203007
Char RNN 2 Layer Vanilla,48,0.11857143,2.2580037
Char RNN 2 Layer Vanilla,49,0.10285714,2.409271
Char RNN 2 Layer Vanilla,50,0.13857143,2.1891809
Char RNN 2 Layer Vanilla,51,0.14571428,2.169612
Char RNN 2 Layer Vanilla,52,0.14428571,2.1879573
Char RNN 2 Layer Vanilla,53,0.15857142,2.1399112
Char RNN 2 Layer Vanilla,54,0.15571429,2.1416395
Char RNN 2 Layer Vanilla,55,0.12714286,2.217227
Char RNN 2 Layer Vanilla,56,0.13857143,2.2672956
Char RNN 2 Layer Vanilla,57,0.16142857,2.2667472
Char RNN 2 Layer Vanilla,58,0.14142857,2.3359377
Char RNN 2 Layer Vanilla,59,0.09142857,2.6360927
Char RNN 2 Layer Vanilla,60,0.08571429,2.5895553
Char RNN 2 Layer Vanilla,61,0.105714284,2.5505934
Char RNN 2 Layer Vanilla,62,0.09,2.5920208
Char RNN 2 Layer Vanilla,63,0.09428571,2.4881995
Char RNN 2 Layer Vanilla,64,0.08857143,2.5912418
Char RNN 2 Layer Vanilla,65,0.12571429,2.4424982
Char RNN 2 Layer Vanilla,66,0.09142857,2.689829
Char RNN 2 Layer Vanilla,67,0.074285716,2.6003575
Char RNN 2 Layer Vanilla,68,0.074285716,2.6026719
Char RNN 2 Layer Vanilla,69,0.09714286,2.5701244
Char RNN 2 Layer Vanilla,70,0.10714286,2.5643344
Char RNN 2 Layer Vanilla,71,0.10714286,2.7474463
Char RNN 2 Layer Vanilla,72,0.10285714,2.5749037
Char RNN 2 Layer Vanilla,73,0.108571425,2.555346
Char RNN 2 Layer Vanilla,74,0.10428572,2.5317407
Char RNN 2 Layer Vanilla,75,0.11571429,2.569529
Char RNN 2 Layer Vanilla,76,0.08142857,2.5151963
Char RNN 2 Layer Vanilla,77,0.092857145,2.5324721
Char RNN 2 Layer Vanilla,78,0.117142856,2.477699
