type,epoch,test accuracy,entropy_cost
LSTM Char RNN,89,0.61714286,0.5779331
LSTM Char RNN,90,0.6242857,0.56267357
LSTM Char RNN,91,0.6314286,0.56612796
LSTM Char RNN,92,0.63857144,0.53914917
LSTM Char RNN,93,0.6185714,0.5563012
LSTM Char RNN,94,0.6185714,0.58329695
LSTM Char RNN,95,0.62285715,0.5740902
LSTM Char RNN,96,0.60714287,0.6177864
LSTM Char RNN,97,0.62142855,0.5246908
LSTM Char RNN,98,0.6242857,0.53505796
LSTM Char RNN,99,0.6342857,0.57678956
Vanilla Char RNN,0,0.1,2.6039946
Vanilla Char RNN,1,0.1,2.5615728
Vanilla Char RNN,2,0.122857146,2.518716
Vanilla Char RNN,3,0.092857145,2.527277
Vanilla Char RNN,4,0.10428572,2.468223
Vanilla Char RNN,5,0.11571429,2.5234754
Vanilla Char RNN,6,0.13285714,2.4504724
Vanilla Char RNN,7,0.10428572,2.4609804
Vanilla Char RNN,8,0.12857144,2.394531
Vanilla Char RNN,9,0.13857143,2.376347
Vanilla Char RNN,10,0.12571429,2.4183238
Vanilla Char RNN,11,0.15142857,2.3458035
Vanilla Char RNN,12,0.15714286,2.3006644
Vanilla Char RNN,13,0.10714286,2.3855522
Vanilla Char RNN,14,0.10285714,2.47481
Vanilla Char RNN,15,0.13714285,2.3335803
Vanilla Char RNN,16,0.13714285,2.3711562
Vanilla Char RNN,17,0.13571429,2.3742433
Vanilla Char RNN,18,0.14857143,2.2758086
Vanilla Char RNN,19,0.12714286,2.3706532
Vanilla Char RNN,20,0.095714286,2.4986238
Vanilla Char RNN,21,0.092857145,2.4343278
Vanilla Char RNN,22,0.11,2.379689
Vanilla Char RNN,23,0.122857146,2.3753767
Vanilla Char RNN,24,0.13428572,2.3413804
Vanilla Char RNN,25,0.08857143,2.5263617
Vanilla Char RNN,26,0.1,2.4375067
Vanilla Char RNN,27,0.11571429,2.3935027
Vanilla Char RNN,28,0.10285714,2.4340105
Vanilla Char RNN,29,0.11,2.3894653
Vanilla Char RNN,30,0.10428572,2.4662492
Vanilla Char RNN,31,0.09714286,2.4299753
Vanilla Char RNN,32,0.095714286,2.4084392
Vanilla Char RNN,33,0.11,2.3664525
Vanilla Char RNN,34,0.06714286,2.5113056
Vanilla Char RNN,35,0.11285714,2.4003258
Vanilla Char RNN,36,0.10714286,2.359886
Vanilla Char RNN,37,0.13142857,2.3498266
Vanilla Char RNN,38,0.10428572,2.4210722
Vanilla Char RNN,39,0.11,2.3795402
Vanilla Char RNN,40,0.09,2.3613045
Vanilla Char RNN,41,0.11,2.3475327
Vanilla Char RNN,42,0.111428574,2.3307736
Vanilla Char RNN,43,0.12714286,2.316618
Vanilla Char RNN,44,0.111428574,2.4401636
Vanilla Char RNN,45,0.11571429,2.3957264
Vanilla Char RNN,46,0.11857143,2.3544023
Vanilla Char RNN,47,0.117142856,2.3121529
Vanilla Char RNN,48,0.122857146,2.3745427
Vanilla Char RNN,49,0.12571429,2.3334682
Vanilla Char RNN,50,0.12,2.319969
Vanilla Char RNN,51,0.12,2.3138459
Vanilla Char RNN,52,0.12857144,2.341349
Vanilla Char RNN,53,0.09714286,2.499992
Vanilla Char RNN,54,0.11857143,2.4614508
Vanilla Char RNN,55,0.13428572,2.4166236
Vanilla Char RNN,56,0.12428571,2.4009867
Vanilla Char RNN,57,0.13,2.390261
Vanilla Char RNN,58,0.13142857,2.3744776
Vanilla Char RNN,59,0.12571429,2.3597655
Vanilla Char RNN,60,0.13714285,2.3446808
Vanilla Char RNN,61,0.12571429,2.333969
Vanilla Char RNN,62,0.12857144,2.3253531
Vanilla Char RNN,63,0.13,2.319296
Vanilla Char RNN,64,0.12714286,2.321125
Vanilla Char RNN,65,0.13428572,2.3200142
Vanilla Char RNN,66,0.12,2.3869786
Vanilla Char RNN,67,0.122857146,2.3177404
Vanilla Char RNN,68,0.12714286,2.31478
Vanilla Char RNN,69,0.117142856,2.318049
Vanilla Char RNN,70,0.09,2.3408277
Vanilla Char RNN,71,0.12571429,2.3082297
Vanilla Char RNN,72,0.12142857,2.29192
Vanilla Char RNN,73,0.12714286,2.274706
Vanilla Char RNN,74,0.108571425,2.324437
Vanilla Char RNN,75,0.12714286,2.3031375
Vanilla Char RNN,76,0.10714286,2.4160998
Vanilla Char RNN,77,0.122857146,2.376656
Vanilla Char RNN,78,0.13,2.4550223
Vanilla Char RNN,79,0.12857144,2.4030151
Vanilla Char RNN,80,0.12571429,2.3735187
Vanilla Char RNN,81,0.108571425,2.4136465
Vanilla Char RNN,82,0.122857146,2.3398921
Vanilla Char RNN,83,0.122857146,2.3238795
Vanilla Char RNN,84,0.13142857,2.3039925
Vanilla Char RNN,85,0.114285715,2.2955678
Vanilla Char RNN,86,0.11857143,2.282091
Vanilla Char RNN,87,0.12142857,2.2799048
Vanilla Char RNN,88,0.12142857,2.2777643
Vanilla Char RNN,89,0.122857146,2.2850442
Vanilla Char RNN,90,0.13,2.2538178
Vanilla Char RNN,91,0.08571429,2.6444247
Vanilla Char RNN,92,0.111428574,2.4388444
Vanilla Char RNN,93,0.13142857,2.3895266
Vanilla Char RNN,94,0.114285715,2.330722
Vanilla Char RNN,95,0.12857144,2.2854986
Vanilla Char RNN,96,0.13,2.2724586
Vanilla Char RNN,97,0.13857143,2.2913725
Vanilla Char RNN,98,0.13285714,2.2582421
