type,epoch,test accuracy,entropy_cost
Vanilla Char RNN,50,0.122857146,2.4618683
Vanilla Char RNN,51,0.114285715,2.3994434
Vanilla Char RNN,52,0.11857143,2.328118
Vanilla Char RNN,53,0.114285715,2.351166
Vanilla Char RNN,54,0.13714285,2.3123085
Vanilla Char RNN,55,0.122857146,2.3431592
Vanilla Char RNN,56,0.117142856,2.3077204
Vanilla Char RNN,57,0.06285714,2.6314077
Vanilla Char RNN,58,0.09142857,2.5815284
Vanilla Char RNN,59,0.08142857,2.5677366
Vanilla Char RNN,60,0.09428571,2.5594165
Vanilla Char RNN,61,0.09142857,2.5459092
Vanilla Char RNN,62,0.092857145,2.5342765
Vanilla Char RNN,63,0.08857143,2.5293376
Vanilla Char RNN,64,0.084285714,2.5069826
Vanilla Char RNN,65,0.095714286,2.5240488
Vanilla Char RNN,66,0.09428571,2.5454566
Vanilla Char RNN,67,0.11,2.5092306
Vanilla Char RNN,68,0.10285714,2.5093374
Vanilla Char RNN,69,0.092857145,2.5004258
Vanilla Char RNN,70,0.10142857,2.467179
Vanilla Char RNN,71,0.10714286,2.5872579
Vanilla Char RNN,72,0.10714286,2.4578454
Vanilla Char RNN,73,0.092857145,2.6276557
Vanilla Char RNN,74,0.092857145,2.5962126
Vanilla Char RNN,75,0.09428571,2.5909636
Vanilla Char RNN,76,0.092857145,2.5814
Vanilla Char RNN,77,0.08142857,2.5795832
Vanilla Char RNN,78,0.092857145,2.5730553
Vanilla Char RNN,79,0.07857143,2.561625
Vanilla Char RNN,80,0.07714286,2.5514352
Vanilla Char RNN,81,0.09,2.5578804
Vanilla Char RNN,82,0.08857143,2.5614667
Vanilla Char RNN,83,0.108571425,2.5404584
Vanilla Char RNN,84,0.09857143,2.5492609
Vanilla Char RNN,85,0.105714284,2.525629
Vanilla Char RNN,86,0.11285714,2.5201967
Vanilla Char RNN,87,0.09714286,2.5096185
Vanilla Char RNN,88,0.09428571,2.5342054
Vanilla Char RNN,89,0.09428571,2.5123105
Vanilla Char RNN,90,0.10142857,2.5161471
Vanilla Char RNN,91,0.114285715,2.5104408
Vanilla Char RNN,92,0.108571425,2.5010204
Vanilla Char RNN,93,0.09714286,2.4944396
Vanilla Char RNN,94,0.09857143,2.5057921
Vanilla Char RNN,95,0.095714286,2.4757395
Vanilla Char RNN,96,0.11,2.4621415
Vanilla Char RNN,97,0.122857146,2.4679048
Vanilla Char RNN,98,0.10285714,2.482304
Vanilla Char RNN,99,0.09428571,2.48991
Vanilla Char RNN w/ GC,0,0.09142857,2.5960155
Vanilla Char RNN w/ GC,1,0.11,2.5714023
Vanilla Char RNN w/ GC,2,0.11,2.5283256
Vanilla Char RNN w/ GC,3,0.11285714,2.4974036
Vanilla Char RNN w/ GC,4,0.14,2.397081
Vanilla Char RNN w/ GC,5,0.14857143,2.3720748
Vanilla Char RNN w/ GC,6,0.12714286,2.454135
Vanilla Char RNN w/ GC,7,0.10142857,2.5265539
Vanilla Char RNN w/ GC,8,0.15,2.3984153
Vanilla Char RNN w/ GC,9,0.10285714,2.5176222
Vanilla Char RNN w/ GC,10,0.15285714,2.3651583
Vanilla Char RNN w/ GC,11,0.07714286,2.6371224
Vanilla Char RNN w/ GC,12,0.09,2.6081865
Vanilla Char RNN w/ GC,13,0.092857145,2.600208
Vanilla Char RNN w/ GC,14,0.08571429,2.6077933
Vanilla Char RNN w/ GC,15,0.07714286,2.584787
Vanilla Char RNN w/ GC,16,0.084285714,2.5724156
