iter,tr-acc,te-acc,time
243,0.921371,0.89341694,0.07280516624450684
244,0.922043,0.8840125,0.0728306770324707
245,0.922043,0.89028215,0.07535910606384277
246,0.92271507,0.88871473,0.07745575904846191
247,0.92069894,0.8871473,0.07280540466308594
248,0.91935486,0.88871473,0.07283282279968262
249,0.9200269,0.89028215,0.07280230522155762
250,0.90994626,0.8918495,0.0708162784576416
251,0.91599464,0.8871473,0.07080698013305664
252,0.9233871,0.88087773,0.07280373573303223
253,0.90994626,0.88557994,0.07277989387512207
254,0.9133065,0.8918495,0.07283425331115723
255,0.9092742,0.89341694,0.07477092742919922
256,0.92069894,0.8871473,0.07183599472045898
257,0.9153226,0.8918495,0.07081151008605957
258,0.9072581,0.89341694,0.07477116584777832
259,0.9139785,0.89028215,0.07380318641662598
260,0.9139785,0.8918495,0.0713968276977539
261,0.9233871,0.88871473,0.0707855224609375
262,0.922043,0.88871473,0.07183313369750977
263,0.92271507,0.8840125,0.07352089881896973
264,0.92069894,0.88244516,0.07380342483520508
265,0.92069894,0.89028215,0.07382750511169434
266,0.9233871,0.8840125,0.07377791404724121
267,0.91935486,0.8871473,0.09345889091491699
268,0.92405915,0.88557994,0.07978558540344238
269,0.9233871,0.88557994,0.13913679122924805
270,0.92271507,0.88871473,0.13962650299072266
271,0.92271507,0.88871473,0.10671377182006836
272,0.921371,0.8871473,0.11170196533203125
273,0.922043,0.89028215,0.07779169082641602
274,0.9180108,0.8949843,0.07280516624450684
275,0.9247312,0.8918495,0.07382726669311523
276,0.92405915,0.88557994,0.07477569580078125
277,0.922043,0.88871473,0.071807861328125
278,0.91263443,0.89341694,0.071807861328125
279,0.9233871,0.8871473,0.07482624053955078
280,0.9247312,0.88557994,0.07676839828491211
281,0.91465056,0.88871473,0.07249760627746582
282,0.9200269,0.8871473,0.07380247116088867
283,0.9247312,0.8840125,0.0857706069946289
284,0.91935486,0.88871473,0.07978606224060059
285,0.92271507,0.8871473,0.08034157752990723
286,0.921371,0.8840125,0.08233857154846191
287,0.921371,0.89028215,0.0827782154083252
288,0.92069894,0.8918495,0.07779192924499512
289,0.921371,0.89028215,0.07878899574279785
290,0.91935486,0.88871473,0.07579708099365234
291,0.92271507,0.8918495,0.07579779624938965
292,0.9233871,0.88871473,0.07779192924499512
293,0.9247312,0.88871473,0.07579660415649414
294,0.9200269,0.89028215,0.07579731941223145
295,0.92271507,0.8965517,0.07579708099365234
296,0.9119624,0.89341694,0.07679486274719238
297,0.92271507,0.88871473,0.07779240608215332
298,0.9233871,0.89028215,0.07480025291442871
299,0.9180108,0.8918495,0.0718071460723877
300,0.922043,0.88871473,0.07280588150024414
301,0.91599464,0.88244516,0.07480001449584961
302,0.921371,0.89028215,0.07479977607727051
303,0.92069894,0.89028215,0.07679462432861328
304,0.90994626,0.8918495,0.07435464859008789
305,0.9200269,0.8918495,0.0747995376586914
306,0.9166667,0.8918495,0.07735872268676758
307,0.9119624,0.89341694,0.07679510116577148
308,0.9133065,0.88871473,0.07380223274230957
309,0.9247312,0.89028215,0.07579684257507324
310,0.92271507,0.8918495,0.08876252174377441
311,0.922043,0.88871473,0.07679462432861328
